"BrandID","BrandDescription","FilterID","FilterDescription","PartNumber","PartDescription","PartMasterID","PartClassDescription","PartSubClassDescription","PartTypeID","MakeID","MakeName","ModelID","ModelName","SubModelID","SubModelName","YearID","RegionID","RegionName","VehicleTypeID","VehicleTypeName","BodyTypeID","BodyTypeName","DriveTypeID","DriveTypeName","BodyNumDoorsID","BodyNumDoors","BedLengthID","BedLength","CustomNote","BaseVehicleID"
4,"No Brand",142,"00142 - Spacer 911124/28","911124.4","4/5 Lug (100mm/4.25-120mm/4.75 )(5mm or 13/16)",5006,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2011,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",96722
3,"Coyote",142,"00142 - Spacer 911124/28","911128","5 Lug (100mm/4.25-120mm/4.75 )(8mm or 5/16)",1243,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2011,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",96722
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5450-B.4","(4) 5450/475-5450-B ",4926,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
3,"Coyote",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5475-B","5x4.5/4.75-5x4.75 (1.25) 74.1 CB(M12 1.5)",2069,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5475-B.2","(2) 5450/475-5475-B ",5069,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5475-B.4","(4) 5450/475-5475-B ",4928,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
3,"Coyote",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5500-B","5x4.5/4.75-5x5.00 (1.25) 74m CB (M12 1.5)",2070,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5500-B.2","(2) 5450/475-5500-B ",5070,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5500-B.4","(4) 5450/475-5500-B ",5071,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
3,"Coyote",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5550-B","5x4.5/4.75-5x5.5 (1.25) 74m CB (M12 1.5)",2071,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
30,"Wheel Accessories Parts",146,"00146 - Adap 5450/475A 74.1mm","5450/475-5550-B.4","(4) 5450/475-5550-B ",4929,"Wheel Adapter","6061 Billet Aluminum","14304",13,"Subaru",66,"Outback",3044,"3.6R Limited",2017,2,"Canada",5,"Car",6,"Wagon",6,"AWD",5,"4",3,"N/R","5",140479
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170H-E14","8x170-8x170 (2.0) HC 124.9m (M14 1.5)",3741,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",17,"Standard Cab Pickup",8,"4WD",7,"2",67,"82.4","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8650H-E","8x170-8x6.5(2.0)HC ID124.9/OD 116.7(M14)",3945,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",68,"98.6","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170N-E","8x170-8x170 (2.0) 126m CB (M14 1.5)",1148,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",68,"98.6","8",19018
30,"Wheel Accessories Parts",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170H-E14.2","(2) 8170-8170H-E14 ",5188,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",68,"98.6","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170H-E14","8x170-8x170 (2.0) HC 124.9m (M14 1.5)",3741,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",68,"98.6","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8650H-E","8x170-8x6.5(2.0)HC ID124.9/OD 116.7(M14)",3945,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",67,"82.4","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170N-E","8x170-8x170 (2.0) 126m CB (M14 1.5)",1148,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",67,"82.4","8",19018
30,"Wheel Accessories Parts",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170H-E14.2","(2) 8170-8170H-E14 ",5188,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",67,"82.4","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170H-E14","8x170-8x170 (2.0) HC 124.9m (M14 1.5)",3741,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",7,"RWD",5,"4",67,"82.4","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8650H-E","8x170-8x6.5(2.0)HC ID124.9/OD 116.7(M14)",3945,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",8,"4WD",5,"4",68,"98.6","8",19018
3,"Coyote",77,"00077 - Adap 8x170 124.9 M14 1.5","8170-8170N-E","8x170-8x170 (2.0) 126m CB (M14 1.5)",1148,"Wheel Adapter","6061 Billet Aluminum","14304",54,"Ford",668,"F-250 Super Duty",656,"XLT",2007,2,"Canada",6,"Truck",18,"Extended Cab Pickup",8,"4WD",5,"4",68,"98.6","8",19018
3,"Coyote",142,"00142 - Spacer 911124/28","911124","5 Lug (100mm/4.25-120mm/4.75 )(5mm or 3/16)",1240,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2010,2,"Canada",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",30486
4,"No Brand",142,"00142 - Spacer 911124/28","911128.4","5 Lug  [100mm/4.25  to 120mm/4.75  BC]  - 8mm or 5/16  Thick [4 Pack]",5012,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
4,"No Brand",142,"00142 - Spacer 911124/28","911128.2","5 Lug  [100mm/4.25  to 120mm/4.75  BC]  - 8mm or 5/16  Thick [2 Pack]",5011,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
4,"No Brand",142,"00142 - Spacer 911124/28","911124.2","4/5 Lug (100mm/4.25-120mm/4.75 )(5mm or 13/16)",5664,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
4,"No Brand",142,"00142 - Spacer 911124/28","911124.4","4/5 Lug (100mm/4.25-120mm/4.75 )(5mm or 13/16)",5006,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
3,"Coyote",142,"00142 - Spacer 911124/28","911128","5 Lug (100mm/4.25-120mm/4.75 )(8mm or 5/16)",1243,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
3,"Coyote",142,"00142 - Spacer 911124/28","911124","5 Lug (100mm/4.25-120mm/4.75 )(5mm or 3/16)",1240,"Wheel Spacer","Die Cast Aluminum","13605",47,"Chevrolet",468,"Malibu",478,"LTZ",2009,1,"United States",5,"Car",5,"Sedan",5,"FWD",5,"4",3,"N/R","5",29987
